year,month,vtype,make,make
2016,3,02 - Automobile,VOLKSWAGEN,19
2016,3,02 - Automobile,VOLKSWAGON,16
2016,3,02 - Automobile,VOLKWAGEN,1
2016,3,02 - Automobile,VOLV,13
2016,3,02 - Automobile,VOLVO,18
2016,3,02 - Automobile,VOLVO 4DR,1
2016,3,02 - Automobile,VW,19
2016,3,03 - Station Wagon,AUDI,1
2016,3,03 - Station Wagon,BUICK,4
2016,3,03 - Station Wagon,CHER,1
2016,3,03 - Station Wagon,CHEV,1
2016,3,03 - Station Wagon,CHEVY,1
2016,3,03 - Station Wagon,CHRYSLER,2
2016,3,03 - Station Wagon,DODGE,4
2016,3,03 - Station Wagon,FORD,7
2016,3,03 - Station Wagon,HOND,11
2016,3,03 - Station Wagon,HONDA,10
2016,3,03 - Station Wagon,HYUNDAI,2
2016,3,03 - Station Wagon,INFINITI,1
2016,3,03 - Station Wagon,JEEP,3
2016,3,03 - Station Wagon,MAZDA,1
2016,3,03 - Station Wagon,MD,3
2016,3,03 - Station Wagon,MERZ,3
2016,3,03 - Station Wagon,NISS,1
2016,3,03 - Station Wagon,SUBA,1
2016,3,03 - Station Wagon,SUBARU,1
2016,3,03 - Station Wagon,TOYOTA,2
2016,3,03 - Station Wagon,TOYT,5
2016,3,03 - Station Wagon,VOLK,1
2016,3,03 - Station Wagon,VOLV,1
2016,3,04 - Limousine,MAZDA,1
2016,3,05 - Light Duty Truck,ACUR,2
2016,3,05 - Light Duty Truck,CADI,1
2016,3,05 - Light Duty Truck,CHEV,22
2016,3,05 - Light Duty Truck,CHEVROLET,6
2016,3,05 - Light Duty Truck,CHEVY,3
2016,3,05 - Light Duty Truck,CHRYSLER,2
2016,3,05 - Light Duty Truck,DODG,1
2016,3,05 - Light Duty Truck,DODGE,3
2016,3,05 - Light Duty Truck,FORD,50
2016,3,05 - Light Duty Truck,GMC,18
2016,3,05 - Light Duty Truck,HINO,1
2016,3,05 - Light Duty Truck,HOND,2
2016,3,05 - Light Duty Truck,HONDA,8
2016,3,05 - Light Duty Truck,HYUN,2
2016,3,05 - Light Duty Truck,INTL,1
2016,3,05 - Light Duty Truck,ISUZ,1
2016,3,05 - Light Duty Truck,ISUZU,1
2016,3,05 - Light Duty Truck,JEEP,10
2016,3,05 - Light Duty Truck,KIA,1
2016,3,05 - Light Duty Truck,LEX,1
2016,3,05 - Light Duty Truck,LEXU,2
2016,3,05 - Light Duty Truck,LNDR,1
2016,3,05 - Light Duty Truck,MAZ,1
2016,3,05 - Light Duty Truck,MAZD,1
2016,3,05 - Light Duty Truck,MAZDA,1
2016,3,05 - Light Duty Truck,MERC,2
2016,3,05 - Light Duty Truck,MERZ,2
2016,3,05 - Light Duty Truck,NISS,2
2016,3,05 - Light Duty Truck,NISSAN,4
2016,3,05 - Light Duty Truck,PLYM,1
2016,3,05 - Light Duty Truck,PORSCHE,1
2016,3,05 - Light Duty Truck,SATU,1
2016,3,05 - Light Duty Truck,SUB,1
2016,3,05 - Light Duty Truck,SUBA,1
2016,3,05 - Light Duty Truck,SUBARU,3
2016,3,05 - Light Duty Truck,TOYOT,2
2016,3,05 - Light Duty Truck,TOYOTA,27
2016,3,05 - Light Duty Truck,TOYT,11
2016,3,06 - Heavy Duty Truck,BUIC,2
2016,3,06 - Heavy Duty Truck,CHEV,5
2016,3,06 - Heavy Duty Truck,FORD,9
2016,3,06 - Heavy Duty Truck,FRHT,2
2016,3,06 - Heavy Duty Truck,GMC,3
2016,3,06 - Heavy Duty Truck,HINO,2
2016,3,06 - Heavy Duty Truck,HUDS,6
2016,3,06 - Heavy Duty Truck,INT,2
2016,3,06 - Heavy Duty Truck,INTERNATIONAL,1
2016,3,06 - Heavy Duty Truck,ISU,1
2016,3,06 - Heavy Duty Truck,MACK,1
2016,3,06 - Heavy Duty Truck,MITZ,1
2016,3,07 - Truck/Road Tractor,ISU,1
2016,3,07 - Truck/Road Tractor,PTRB,1
2016,3,08 - Recreational Vehicle,ACURA,1
2016,3,08 - Recreational Vehicle,CHEVY,1
2016,3,08 - Recreational Vehicle,DODGE,1
2016,3,08 - Recreational Vehicle,FORD,3
2016,3,08 - Recreational Vehicle,HONDA,1
2016,3,08 - Recreational Vehicle,JEEP,1
2016,3,08 - Recreational Vehicle,LEXUS,1
2016,3,08 - Recreational Vehicle,MERZ,1
2016,3,08 - Recreational Vehicle,TOYOTA,2
2016,3,10 - Transit Bus,FORD,1
2016,3,10 - Transit Bus,ORION,1
2016,3,19 - Moped,TAO TAO,2
2016,3,20 - Commercial Rig,BOOM,10
2016,3,20 - Commercial Rig,FRHT,1
2016,3,25 - Utility Trailer,CARR,9
2016,3,25 - Utility Trailer,MAST,1
2016,3,25 - Utility Trailer,UTIL,1
2016,3,28 - Other,AMERICANA,6
2016,3,28 - Other,BMW,1
2016,3,28 - Other,CHEV,2
2016,3,28 - Other,CHEVY,5
2016,3,28 - Other,CHRYSLER,2
2016,3,28 - Other,DODG,1
2016,3,28 - Other,DODGE,3
2016,3,28 - Other,FORD,17
2016,3,28 - Other,GMC,1
2016,3,28 - Other,HOND,1
2016,3,28 - Other,HONDA,7
2016,3,28 - Other,JEEP,2
2016,3,28 - Other,LAND ROVWR,1
2016,3,28 - Other,LEXU,1
2016,3,28 - Other,LEXUS,2
2016,3,28 - Other,MAZ,1
2016,3,28 - Other,NISSAN,1
2016,3,28 - Other,TOYO,1
2016,3,28 - Other,TOYOTA,8
2016,3,28 - Other,TOYT,4
2016,3,29 - Unknown,XX,1
2016,4,01 - Motorcycle,ACUR,1
2016,4,01 - Motorcycle,BMW,9
2016,4,01 - Motorcycle,BUEL,4
2016,4,01 - Motorcycle,CADI,1
2016,4,01 - Motorcycle,CHEVROLET,2
2016,4,01 - Motorcycle,CHEVY,8
2016,4,01 - Motorcycle,CHRY,1
2016,4,01 - Motorcycle,DATS,1
2016,4,01 - Motorcycle,DODG,1
2016,4,01 - Motorcycle,DODGE,13
